KO	KO_description
K02299	cyoC; cytochrome o ubiquinol oxidase subunit III
K02300	cyoD; cytochrome o ubiquinol oxidase subunit IV
K02302	cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]
K02303	cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K02304	MET8; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]
K02305	norC; nitric oxide reductase subunit C
K02313	dnaA; chromosomal replication initiator protein
K02314	dnaB; replicative DNA helicase [EC:3.6.4.12]
K02315	dnaC; DNA replication protein DnaC
K02316	dnaG; DNA primase [EC:2.7.7.101]
K02319	pol; DNA polymerase, archaea type [EC:2.7.7.7]
K02322	polC; DNA polymerase II large subunit [EC:2.7.7.7]
K02323	polB; DNA polymerase II small subunit [EC:2.7.7.7]
K02334	dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7]
K02335	polA; DNA polymerase I [EC:2.7.7.7]
K02337	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]
K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
K02339	holC; DNA polymerase III subunit chi [EC:2.7.7.7]
K02340	holA; DNA polymerase III subunit delta [EC:2.7.7.7]
K02341	holB; DNA polymerase III subunit delta' [EC:2.7.7.7]
K02342	dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]
K02343	dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
K02346	dinB; DNA polymerase IV [EC:2.7.7.7]
K02347	polX, dpx; DNA polymerase (family X)
K02348	elaA; ElaA protein
K02351	K02351; putative membrane protein
K02352	drp35; lactonase [EC:3.1.1.-]
K02355	fusA, GFM, EFG; elongation factor G
K02356	efp; elongation factor P
K02357	tsf, TSFM; elongation factor Ts
K02358	tuf, TUFM; elongation factor Tu
K02359	EGH; beta-1,4-mannosyltransferase [EC:2.4.1.-]
K02361	entC; isochorismate synthase [EC:5.4.4.2]
K02362	entD; enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]
K02363	entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate-AMP ligase [EC:6.3.2.14 2.7.7.58]
K02371	fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]
K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
K02377	TSTA3, fcl; GDP-L-fucose synthase [EC:1.1.1.271]
K02379	fdhD; FdhD protein
K02380	fdhE; FdhE protein
K02381	fdrA; FdrA protein
K02383	flbB; flagellar protein FlbB
K02385	flbD; flagellar protein FlbD
K02386	flgA; flagellar basal body P-ring formation protein FlgA
K02387	flgB; flagellar basal-body rod protein FlgB
K02388	flgC; flagellar basal-body rod protein FlgC
K02389	flgD; flagellar basal-body rod modification protein FlgD
K02390	flgE; flagellar hook protein FlgE
K02391	flgF; flagellar basal-body rod protein FlgF
K02392	flgG; flagellar basal-body rod protein FlgG
K02393	flgH; flagellar L-ring protein FlgH
K02394	flgI; flagellar P-ring protein FlgI
K02395	flgJ; peptidoglycan hydrolase FlgJ
K02396	flgK; flagellar hook-associated protein 1
K02397	flgL; flagellar hook-associated protein 3 FlgL
K02398	flgM; negative regulator of flagellin synthesis FlgM
K02399	flgN; flagellar biosynthesis protein FlgN
K02400	flhA; flagellar biosynthesis protein FlhA
K02401	flhB; flagellar biosynthesis protein FlhB
K02402	flhC; flagellar transcriptional activator FlhC
K02403	flhD; flagellar transcriptional activator FlhD
K02404	flhF; flagellar biosynthesis protein FlhF
K02405	fliA, whiG; RNA polymerase sigma factor FliA
K02406	fliC, hag; flagellin
K02407	fliD; flagellar hook-associated protein 2
K02408	fliE; flagellar hook-basal body complex protein FliE
K02409	fliF; flagellar M-ring protein FliF
K02410	fliG; flagellar motor switch protein FliG
K02411	fliH; flagellar assembly protein FliH
K02412	fliI; flagellum-specific ATP synthase [EC:7.4.2.8]
K02413	fliJ; flagellar protein FliJ
K02414	fliK; flagellar hook-length control protein FliK
K02415	fliL; flagellar protein FliL
K02416	fliM; flagellar motor switch protein FliM
K02417	fliN; flagellar motor switch protein FliN
K02418	fliO, fliZ; flagellar protein FliO/FliZ
K02419	fliP; flagellar biosynthesis protein FliP
K02420	fliQ; flagellar biosynthesis protein FliQ
K02421	fliR; flagellar biosynthesis protein FliR
K02422	fliS; flagellar secretion chaperone FliS
K02423	fliT; flagellar protein FliT
K02424	fliY, tcyA; L-cystine transport system substrate-binding protein
K02426	sufE; cysteine desulfuration protein SufE
K02427	rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]
K02428	rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]
K02429	fucP; MFS transporter, FHS family, L-fucose permease
K02431	fucU, FUOM; L-fucose mutarotase [EC:5.1.3.29]
K02433	gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
K02434	gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
K02435	gatC, GATC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
K02437	gcvH, GCSH; glycine cleavage system H protein
K02440	GLPF; glycerol uptake facilitator protein
K02443	glpP; glycerol uptake operon antiterminator
K02444	glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor
K02445	glpT; MFS transporter, OPA family, glycerol-3-phosphate transporter
K02446	glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]
K02448	norD; nitric oxide reductase NorD protein
K02450	gspA; general secretion pathway protein A
K02451	gspB; general secretion pathway protein B
K02452	gspC; general secretion pathway protein C
K02453	gspD; general secretion pathway protein D
K02454	gspE; general secretion pathway protein E [EC:7.4.2.8]
K02455	gspF; general secretion pathway protein F
K02456	gspG; general secretion pathway protein G
K02457	gspH; general secretion pathway protein H
K02458	gspI; general secretion pathway protein I
K02459	gspJ; general secretion pathway protein J
K02460	gspK; general secretion pathway protein K
K02461	gspL; general secretion pathway protein L
K02462	gspM; general secretion pathway protein M
K02463	gspN; general secretion pathway protein N
K02466	gutM; glucitol operon activator protein
K02469	gyrA; DNA gyrase subunit A [EC:5.6.2.2]
K02470	gyrB; DNA gyrase subunit B [EC:5.6.2.2]
K02471	bacA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein
K02472	wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]
K02473	wbpP; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-]
K02474	wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.136 1.1.1.-]
K02476	K02476; two-component system, CitB family, sensor kinase [EC:2.7.13.3]
K02477	K02477; two-component system, LytTR family, response regulator
K02478	K02478; two-component system, LytTR family, sensor kinase [EC:2.7.13.3]
K02480	K02480; two-component system, NarL family, sensor kinase [EC:2.7.13.3]
K02481	flgR; two-component system, NtrC family, response regulator
K02482	flgS; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]
K02483	K02483; two-component system, OmpR family, response regulator
K02484	K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]
K02488	pleD; two-component system, cell cycle response regulator [EC:2.7.7.65]
K02492	hemA; glutamyl-tRNA reductase [EC:1.2.1.70]
K02493	hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]
K02494	lolB; outer membrane lipoprotein LolB
K02495	hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]
K02496	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K02497	hemX; HemX protein
K02498	hemY; HemY protein
K02499	yabN; tetrapyrrole methylase family protein / MazG family protein
K02500	hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]
K02501	hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]
K02502	hisZ; ATP phosphoribosyltransferase regulatory subunit
K02503	HINT1, hinT, hit; histidine triad (HIT) family protein
K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]
K02510	hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]
K02517	lpxL, htrB; Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]
K02518	infA; translation initiation factor IF-1
K02519	infB, MTIF2; translation initiation factor IF-2
K02520	infC, MTIF3; translation initiation factor IF-3
K02521	ilvY; LysR family transcriptional regulator, positive regulator for ilvC
K02523	ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]
K02526	kdgT; 2-keto-3-deoxygluconate permease
K02527	kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
K02528	ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
K02529	lacI, galR; LacI family transcriptional regulator
K02533	lasT; tRNA/rRNA methyltransferase [EC:2.1.1.-]
K02535	lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K02536	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
K02548	menA; 1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]
K02549	menC; o-succinylbenzoate synthase [EC:4.2.1.113]
K02551	menD; 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]
K02552	menF; menaquinone-specific isochorismate synthase [EC:5.4.4.2]
K02553	rraA, menG; regulator of ribonuclease activity A
K02554	mhpD; 2-keto-4-pentenoate hydratase [EC:4.2.1.80]
K02556	motA; chemotaxis protein MotA
K02557	motB; chemotaxis protein MotB
K02558	mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
K02563	murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
K02564	nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]
K02566	nagD; NagD protein
K02567	napA; nitrate reductase (cytochrome) [EC:1.9.6.1]
K02568	napB; nitrate reductase (cytochrome), electron transfer subunit
K02569	napC; cytochrome c-type protein NapC
K02570	napD; periplasmic nitrate reductase NapD
K02571	napE; periplasmic nitrate reductase NapE
K02572	napF; ferredoxin-type protein NapF
K02573	napG; ferredoxin-type protein NapG
K02574	napH; ferredoxin-type protein NapH
K02575	NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter
K02584	nifA; Nif-specific regulatory protein
K02593	nifT; nitrogen fixation protein NifT
K02598	nirC; nitrite transporter
K02600	nusA; transcription termination/antitermination protein NusA
K02601	nusG; transcription termination/antitermination protein NusG
K02606	ORC4; origin recognition complex subunit 4
K02609	paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]
K02610	paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB
K02611	paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]
K02612	paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD
K02613	paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE
K02614	paaI; acyl-CoA thioesterase [EC:3.1.2.-]
K02616	paaX; phenylacetic acid degradation operon negative regulatory protein
K02617	paaY; phenylacetic acid degradation protein
K02618	paaZ; oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]
K02619	pabC; 4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
K02621	parC; topoisomerase IV subunit A [EC:5.6.2.2]
K02622	parE; topoisomerase IV subunit B [EC:5.6.2.2]
K02623	pcaQ; LysR family transcriptional regulator, pca operon transcriptional activator
K02624	pcaR; IclR family transcriptional regulator, pca regulon regulatory protein
K02626	pdaD; arginine decarboxylase [EC:4.1.1.19]
K02634	petA; apocytochrome f
K02635	petB; cytochrome b6
K02636	petC; cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]
K02637	petD; cytochrome b6-f complex subunit 4
K02638	petE; plastocyanin
K02639	petF; ferredoxin
K02640	petG; cytochrome b6-f complex subunit 5
K02641	petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]
K02642	petL; cytochrome b6-f complex subunit 6
K02643	petM; cytochrome b6-f complex subunit 7
K02647	cdaR; carbohydrate diacid regulator
K02650	pilA; type IV pilus assembly protein PilA
K02651	flp, pilA; pilus assembly protein Flp/PilA
K02652	pilB; type IV pilus assembly protein PilB
K02653	pilC; type IV pilus assembly protein PilC
K02654	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
K02655	pilE; type IV pilus assembly protein PilE
K02656	pilF; type IV pilus assembly protein PilF
K02657	pilG; twitching motility two-component system response regulator PilG
K02658	pilH; twitching motility two-component system response regulator PilH
K02659	pilI; twitching motility protein PilI
K02660	pilJ; twitching motility protein PilJ
K02662	pilM; type IV pilus assembly protein PilM
K02663	pilN; type IV pilus assembly protein PilN
K02664	pilO; type IV pilus assembly protein PilO
K02665	pilP; type IV pilus assembly protein PilP
K02666	pilQ; type IV pilus assembly protein PilQ
K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]
K02669	pilT; twitching motility protein PilT
K02670	pilU; twitching motility protein PilU
K02671	pilV; type IV pilus assembly protein PilV
K02672	pilW; type IV pilus assembly protein PilW
K02673	pilX; type IV pilus assembly protein PilX
K02674	pilY1; type IV pilus assembly protein PilY1
K02676	pilZ; type IV pilus assembly protein PilZ
K02683	priS, pri1, priA; DNA primase small subunit [EC:2.7.7.102]
K02686	priB; primosomal replication protein N
K02687	prmA; ribosomal protein L11 methyltransferase [EC:2.1.1.-]
K02689	psaA; photosystem I P700 chlorophyll a apoprotein A1
K02690	psaB; photosystem I P700 chlorophyll a apoprotein A2
K02691	psaC; photosystem I subunit VII
K02692	psaD; photosystem I subunit II
K02693	psaE; photosystem I subunit IV
K02694	psaF; photosystem I subunit III
K02696	psaI; photosystem I subunit VIII
K02697	psaJ; photosystem I subunit IX
K02698	psaK; photosystem I subunit X
K02699	psaL; photosystem I subunit XI
K02702	psaX; photosystem I 4.8kDa protein
K02703	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
K02704	psbB; photosystem II CP47 chlorophyll apoprotein
K02705	psbC; photosystem II CP43 chlorophyll apoprotein
K02706	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]
K02707	psbE; photosystem II cytochrome b559 subunit alpha
K02708	psbF; photosystem II cytochrome b559 subunit beta
K02709	psbH; photosystem II PsbH protein
K02710	psbI; photosystem II PsbI protein
K02711	psbJ; photosystem II PsbJ protein
K02712	psbK; photosystem II PsbK protein
K02713	psbL; photosystem II PsbL protein
K02714	psbM; photosystem II PsbM protein
K02715	psbN; PsbN protein
K02716	psbO; photosystem II oxygen-evolving enhancer protein 1
K02717	psbP; photosystem II oxygen-evolving enhancer protein 2
K02719	psbU; photosystem II PsbU protein
K02720	psbV; photosystem II cytochrome c550
K02722	psbX; photosystem II PsbX protein
K02723	psbY; photosystem II PsbY protein
K02724	psbZ; photosystem II PsbZ protein
K02734	PSMB2; 20S proteasome subunit beta 4 [EC:3.4.25.1]
K02742	sprT; SprT protein
K02757	bglF, bglP; beta-glucoside PTS system EIICBA component [EC:2.7.1.-]
K02761	celB, chbC; cellobiose PTS system EIIC component
K02768	fruB; fructose PTS system EIIA component [EC:2.7.1.202]
K02769	fruAb; fructose PTS system EIIB component [EC:2.7.1.202]
K02770	fruA; fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]
K02773	gatA, sgcA; galactitol PTS system EIIA component [EC:2.7.1.200]
K02774	gatB, sgcB; galactitol PTS system EIIB component [EC:2.7.1.200]
K02775	gatC, sgcC; galactitol PTS system EIIC component
K02779	ptsG; glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]
K02781	srlB; glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]
K02782	srlE; glucitol/sorbitol PTS system EIIB component [EC:2.7.1.198]
K02783	srlA; glucitol/sorbitol PTS system EIIC component
K02784	ptsH; phosphocarrier protein HPr
K02793	manXa; mannose PTS system EIIA component [EC:2.7.1.191]
K02798	cmtB; mannitol PTS system EIIA component [EC:2.7.1.197]
K02800	mtlA, cmtA; mannitol PTS system EIICBA or EIICB component [EC:2.7.1.197]
K02803	nagEb; N-acetylglucosamine PTS system EIIB component [EC:2.7.1.193]
K02804	nagE; N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193]
K02805	wecE, rffA; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]
K02806	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]
K02821	ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194]
K02822	ulaB, sgaB; ascorbate PTS system EIIB component [EC:2.7.1.194]
K02823	pyrDII; dihydroorotate dehydrogenase electron transfer subunit
K02825	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]
K02834	rbfA; ribosome-binding factor A
K02835	prfA, MTRF1, MRF1; peptide chain release factor 1
K02836	prfB; peptide chain release factor 2
K02837	prfC; peptide chain release factor 3
K02838	frr, MRRF, RRF; ribosome recycling factor
K02839	prfH; peptide chain release factor
K02841	waaC, rfaC; heptosyltransferase I [EC:2.4.-.-]
K02843	waaF, rfaF; heptosyltransferase II [EC:2.4.-.-]
K02844	waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]
K02847	waaL, rfaL; O-antigen ligase [EC:2.4.1.-]
K02848	waaP, rfaP; heptose I phosphotransferase [EC:2.7.1.-]
K02849	waaQ, rfaQ; heptosyltransferase III [EC:2.4.-.-]
K02851	wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]
K02856	rhaT; L-rhamnose-H+ transport protein
K02858	ribB, RIB3; 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]
K02860	rimM; 16S rRNA processing protein RimM
K02862	ctaG; putative membrane protein
K02863	RP-L1, MRPL1, rplA; large subunit ribosomal protein L1
K02864	RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10
K02866	RP-L10e, RPL10; large subunit ribosomal protein L10e
K02867	RP-L11, MRPL11, rplK; large subunit ribosomal protein L11
K02869	RP-L12, rpl12; large subunit ribosomal protein L12
K02871	RP-L13, MRPL13, rplM; large subunit ribosomal protein L13
K02874	RP-L14, MRPL14, rplN; large subunit ribosomal protein L14
K02876	RP-L15, MRPL15, rplO; large subunit ribosomal protein L15
K02877	RP-L15e, RPL15; large subunit ribosomal protein L15e
K02878	RP-L16, MRPL16, rplP; large subunit ribosomal protein L16
K02879	RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17
K02881	RP-L18, MRPL18, rplR; large subunit ribosomal protein L18
K02883	RP-L18e, RPL18; large subunit ribosomal protein L18e
K02884	RP-L19, MRPL19, rplS; large subunit ribosomal protein L19
K02885	RP-L19e, RPL19; large subunit ribosomal protein L19e
K02886	RP-L2, MRPL2, rplB; large subunit ribosomal protein L2
K02887	RP-L20, MRPL20, rplT; large subunit ribosomal protein L20
K02888	RP-L21, MRPL21, rplU; large subunit ribosomal protein L21
K02889	RP-L21e, RPL21; large subunit ribosomal protein L21e
K02890	RP-L22, MRPL22, rplV; large subunit ribosomal protein L22
K02892	RP-L23, MRPL23, rplW; large subunit ribosomal protein L23
K02895	RP-L24, MRPL24, rplX; large subunit ribosomal protein L24
K02896	RP-L24e, RPL24; large subunit ribosomal protein L24e
K02897	RP-L25, rplY; large subunit ribosomal protein L25
K02899	RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27
K02902	RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28
K02904	RP-L29, rpmC; large subunit ribosomal protein L29
K02906	RP-L3, MRPL3, rplC; large subunit ribosomal protein L3
K02907	RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30
K02908	RP-L30e, RPL30; large subunit ribosomal protein L30e
K02909	RP-L31, rpmE; large subunit ribosomal protein L31
K02910	RP-L31e, RPL31; large subunit ribosomal protein L31e
K02911	RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32
K02912	RP-L32e, RPL32; large subunit ribosomal protein L32e
K02913	RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33
K02914	RP-L34, MRPL34, rpmH; large subunit ribosomal protein L34
K02916	RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35
K02919	RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36
K02921	RP-L37Ae, RPL37A; large subunit ribosomal protein L37Ae
K02922	RP-L37e, RPL37; large subunit ribosomal protein L37e
K02924	RP-L39e, RPL39; large subunit ribosomal protein L39e
K02926	RP-L4, MRPL4, rplD; large subunit ribosomal protein L4
K02929	RP-L44e, RPL44; large subunit ribosomal protein L44e
K02930	RP-L4e, RPL4; large subunit ribosomal protein L4e
K02931	RP-L5, MRPL5, rplE; large subunit ribosomal protein L5
K02933	RP-L6, MRPL6, rplF; large subunit ribosomal protein L6
K02935	RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12
K02936	RP-L7Ae, RPL7A; large subunit ribosomal protein L7Ae
K02939	RP-L9, MRPL9, rplI; large subunit ribosomal protein L9
K02945	RP-S1, rpsA; small subunit ribosomal protein S1
K02946	RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10
K02948	RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11
K02950	RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12
K02952	RP-S13, rpsM; small subunit ribosomal protein S13
K02954	RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14
K02956	RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15
K02959	RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16
K02961	RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17
K02962	RP-S17e, RPS17; small subunit ribosomal protein S17e
K02963	RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18
K02965	RP-S19, rpsS; small subunit ribosomal protein S19
K02966	RP-S19e, RPS19; small subunit ribosomal protein S19e
K02967	RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2
K02968	RP-S20, rpsT; small subunit ribosomal protein S20
K02970	RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21
K02974	RP-S24e, RPS24; small subunit ribosomal protein S24e
K02975	RP-S25e, RPS25; small subunit ribosomal protein S25e
K02976	RP-S26e, RPS26; small subunit ribosomal protein S26e
K02978	RP-S27e, RPS27; small subunit ribosomal protein S27e
K02979	RP-S28e, RPS28; small subunit ribosomal protein S28e
K02982	RP-S3, rpsC; small subunit ribosomal protein S3
K02984	RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae
K02986	RP-S4, rpsD; small subunit ribosomal protein S4
K02987	RP-S4e, RPS4; small subunit ribosomal protein S4e
K02988	RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5
K02990	RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6
K02991	RP-S6e, RPS6; small subunit ribosomal protein S6e
K02992	RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7
K02994	RP-S8, rpsH; small subunit ribosomal protein S8
K02995	RP-S8e, RPS8; small subunit ribosomal protein S8e
K02996	RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9
K03014	RPB6, POLR2F; DNA-directed RNA polymerases I, II, and III subunit RPABC2
K03033	PSMD3, RPN3; 26S proteasome regulatory subunit N3
K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
K03041	rpoA1; DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]
K03042	rpoA2; DNA-directed RNA polymerase subunit A" [EC:2.7.7.6]
K03043	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
K03046	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
K03047	rpoD; DNA-directed RNA polymerase subunit D [EC:2.7.7.6]
K03048	rpoE; DNA-directed RNA polymerase subunit delta
K03049	rpoE1; DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]
K03050	rpoE2; DNA-directed RNA polymerase subunit E" [EC:2.7.7.6]
K03051	rpoF; DNA-directed RNA polymerase subunit F [EC:2.7.7.6]
K03053	rpoH; DNA-directed RNA polymerase subunit H [EC:2.7.7.6]
K03057	tfs; transcription factor S
K03058	rpoN; DNA-directed RNA polymerase subunit N [EC:2.7.7.6]
K03059	rpoP; DNA-directed RNA polymerase subunit P [EC:2.7.7.6]
K03060	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
K03070	secA; preprotein translocase subunit SecA [EC:7.4.2.8]
K03071	secB; preprotein translocase subunit SecB
K03072	secD; preprotein translocase subunit SecD
K03073	secE; preprotein translocase subunit SecE
K03074	secF; preprotein translocase subunit SecF
K03075	secG; preprotein translocase subunit SecG
K03076	secY; preprotein translocase subunit SecY
K03077	araD, ulaF, sgaE, sgbE; L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]
K03079	ulaE, sgaU, sgbU; L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]
K03086	rpoD; RNA polymerase primary sigma factor
K03087	rpoS; RNA polymerase nonessential primary-like sigma factor
K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
K03089	rpoH; RNA polymerase sigma-32 factor
K03090	sigB; RNA polymerase sigma-B factor
K03091	sigH; RNA polymerase sporulation-specific sigma factor
K03092	rpoN; RNA polymerase sigma-54 factor
K03095	sprL; SprT-like protein
K03098	APOD; apolipoprotein D and lipocalin family protein
K03100	lepB; signal peptidase I [EC:3.4.21.89]
K03101	lspA; signal peptidase II [EC:3.4.23.36]
K03105	SRP19; signal recognition particle subunit SRP19
K03106	SRP54, ffh; signal recognition particle subunit SRP54 [EC:3.6.5.4]
K03110	ftsY; fused signal recognition particle receptor
K03111	ssb; single-strand DNA-binding protein
K03113	EIF1, SUI1; translation initiation factor 1
K03116	tatA; sec-independent protein translocase protein TatA
K03117	tatB; sec-independent protein translocase protein TatB
K03118	tatC; sec-independent protein translocase protein TatC
K03119	tauD; taurine dioxygenase [EC:1.14.11.17]
K03120	TBP, tbp; transcription initiation factor TFIID TATA-box-binding protein
K03124	TFIIB, GTF2B, SUA7, tfb; transcription initiation factor TFIIB
K03136	TFIIE1, GTF2E1, TFA1, tfe; transcription initiation factor TFIIE subunit alpha
K03147	thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]
K03149	thiG; thiazole synthase [EC:2.8.1.10]
K03150	thiH; 2-iminoacetate synthase [EC:4.1.99.19]
K03151	thiI; tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]
K03152	thiJ; protein deglycase [EC:3.5.1.124]
K03153	thiO; glycine oxidase [EC:1.4.3.19]
K03154	thiS; sulfur carrier protein
K03163	TOP1; DNA topoisomerase I [EC:5.6.2.1]
K03166	top6A; DNA topoisomerase VI subunit A [EC:5.6.2.2]
