	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
Amino acid related enzymes	140220	133547	87065	119280	66216	125697	96290	99156	82747	214240	231606	275874	91835	80120	77362	603988	366457	240734	175551	119169	120997	102525	273501	141475
Cyanoamino acid metabolism	16030	17749	10986	14362	7874	14243	13665	14295	10342	23642	24863	29993	9498	8179	8939	79668	44491	28816	26294	16949	16180	13602	37696	18344
Aminoacyl-tRNA biosynthesis	122962	118684	78626	106019	59179	113638	85378	87969	74876	186514	201078	237934	80797	69826	66489	530435	317129	209064	154214	108898	112456	91587	238655	124625
Biosynthesis of ansamycins	8420	9122	6483	7456	4705	8493	6649	7093	5006	11979	12835	15055	6085	5387	4552	32338	20579	13774	12450	7957	8168	7126	18215	9768
Fat digestion and absorption	22169	19551	13034	16967	10109	18456	13822	13652	11644	25540	25625	32865	15077	12512	11703	56362	47473	30879	22219	15702	15952	14754	37629	18916
Geraniol degradation	11540	9987	6536	9209	5182	9926	7871	8375	5408	17562	15839	23224	11150	9019	8347	44779	33726	22395	18750	9579	10209	8337	21216	10473
Ethylbenzene degradation	1934	1941	1259	1830	918	2359	1902	2066	1203	3007	4171	5932	1997	2110	1593	12467	8299	5607	4425	2596	3068	1934	4736	2055
Biofilm formation - Vibrio cholerae	19381	21490	13905	19838	10354	21457	14419	15060	11360	28662	38689	33441	14382	12071	14273	81758	46434	29159	25441	18645	17030	15577	41559	21755
Polyketide biosynthesis proteins	4222	3778	2240	2855	2393	3602	3924	3488	2335	19197	5059	5084	6676	3184	3017	18468	13633	7950	7809	3938	3416	2945	8910	4322
Ferroptosis	3299	3102	1233	2830	1144	4113	2130	2023	1429	7080	4605	6471	2805	2027	1954	22762	15380	11239	5959	3606	2877	2133	6420	3254
Lipopolysaccharide biosynthesis	10610	9656	5811	10772	4552	15194	8281	8393	6485	14591	15945	16280	8970	4191	10097	49449	21462	13275	15290	12899	9668	6729	20400	10933
Cationic antimicrobial peptide (CAMP) resistance	23423	12882	7737	15007	5531	14859	11172	11323	8261	22773	41747	29616	13641	6186	9779	84653	37194	20739	17036	12543	11840	9120	32583	15417
Lipopolysaccharide biosynthesis proteins	18005	19220	11733	19991	9563	26788	14803	16452	11265	32611	48249	51824	18773	14921	19468	120402	51303	32749	31305	24448	19533	13954	39234	20336
Starch and sucrose metabolism	90194	85958	47139	72904	34372	65105	60440	59731	36149	120352	140022	176087	52726	43196	38130	392542	261221	163508	117074	61269	52264	62712	190329	99217
Biofilm formation - Escherichia coli	33390	31051	18926	28010	12670	28294	22448	21845	14288	36035	51605	61023	18303	14487	15974	112720	85559	51264	35067	23705	19901	21870	67784	35009
Insulin signaling pathway	16959	15352	9399	13259	7284	13694	10084	9624	7035	18353	25795	30962	10689	8621	8641	47425	40302	25688	17528	9599	7990	10345	32812	17156
Insulin resistance	25990	25724	15689	21460	11994	22790	16756	17246	12960	30666	39441	46654	16065	14115	13346	74403	59423	38564	29024	18394	17294	18159	52928	27478
Glycosyltransferases	40830	38181	22696	39723	18270	36631	28610	29026	18902	69131	94477	97280	38402	27372	30599	236021	134624	85632	62100	35111	29947	28327	88321	44695
PI3K-Akt signaling pathway	8507	7946	5062	6528	4155	7111	5013	4998	3364	6854	10467	11930	6000	5268	4715	14096	16073	10368	9175	4652	3582	5117	17012	8805
Sphingolipid metabolism	4070	5734	2385	3164	1355	3205	2724	2871	1496	4004	5224	5382	3782	2975	3412	21309	12497	6760	9947	2716	2184	3351	11015	5570
N-Glycan biosynthesis	2141	2534	2097	2173	1290	2571	1729	2122	2040	4351	4739	5447	1582	1199	1342	14968	6774	4976	3316	2683	2948	2177	4737	2641
Mannose type O-glycan biosynthesis	2167	1873	893	1420	872	1118	1293	1203	595	4369	3413	4180	1336	961	689	13052	9415	6628	2809	1045	1127	1352	5080	2644
Other types of O-glycan biosynthesis	2311	1961	970	1504	900	1185	1440	1356	670	4434	5282	4217	1625	1068	930	13381	9501	6690	3060	1367	1322	1432	5457	2741
Bladder cancer	1030	682	290	503	184	256	398	343	198	710	574	1253	390	336	184	1821	2751	1947	803	308	195	557	1535	844
Carbohydrate metabolism	9578	9436	5046	8441	3052	6826	8698	7654	6509	12866	12832	16299	3440	3281	2442	44754	28319	18126	11129	9019	11081	8405	24664	12621
RNA transport	2976	3851	4024	2949	1986	4597	3176	3677	3941	7680	10373	8001	2175	1722	1850	22485	8341	6515	5970	5104	5728	3409	6874	3586
Thiamine metabolism	23008	22647	14752	19351	12218	24370	16517	17306	14166	37160	44511	52647	18319	15180	15464	104990	70126	44556	31433	20856	19572	17281	51337	25016
Prenyltransferases	16752	14639	8847	13152	7660	13193	10533	10198	7502	22888	27378	34685	11025	8829	8950	67993	54361	32760	22180	11704	11041	10731	34083	17511
Platinum drug resistance	8211	7472	4769	5635	2491	4932	5649	5255	3563	11694	13301	12924	3818	2272	4141	34431	22297	13024	9723	6689	6808	5285	14751	7272
Transporters	648246	544720	318870	486989	228642	488469	423399	416975	308352	937451	910184	1120852	358369	276533	321152	2882880	1746823	1100555	747380	491089	454685	405449	1227680	622097
Ether lipid metabolism	4501	5170	4087	4926	3098	4421	3757	4448	1898	4580	5670	7755	6727	5791	5173	14499	13951	8246	12560	4624	4075	4073	11390	5920
D-Alanine metabolism	9121	8488	5093	8513	3807	7756	7323	7110	5272	16581	15022	17631	8877	5223	5805	44751	26275	16603	11523	7967	8078	6987	18864	9466
Glucosinolate biosynthesis	6536	6464	4403	5223	3005	6131	4805	5008	4427	10222	10955	13447	4041	3398	3497	30083	18094	11998	8616	5868	6242	4722	12792	6796
Neomycin, kanamycin and gentamicin biosynthesis	1910	2536	970	1826	891	1716	1713	1827	1002	4849	4024	5205	879	1325	859	14617	8364	5986	3491	1973	1871	2024	5726	3057
RNA degradation	87257	86039	58290	75232	44716	83035	59312	62458	53686	108197	124506	140969	58112	48187	48186	279450	185176	123263	99731	72891	67139	62436	162167	87462
Thyroid hormone signaling pathway	1289	2525	2515	2770	2209	2457	1746	2316	858	843	1391	619	4740	3482	3867	5205	1464	1180	8680	3147	2809	2180	3668	2414
Protein phosphatases and associated proteins	20878	21590	14448	18079	11260	20336	14793	15415	12765	25347	30906	29914	16141	13193	13156	67889	45816	29722	24663	18352	17750	15748	40383	21384
Messenger RNA biogenesis	96281	96432	66447	85145	50421	93626	66649	70302	60753	123296	143103	158825	64562	53731	53713	320256	209598	139562	110861	81662	77190	70491	182867	98175
RIG-I-like receptor signaling pathway	2	8	5	3	0	0	9	7	0	0	55	1	3	8	1	64	17	11	1	0	0	0	94	4
Plant-pathogen interaction	21432	22070	15254	19327	11675	21075	14745	15698	12607	23388	28104	27609	14037	11190	12075	59290	41218	27018	24476	17215	14940	14897	39970	20882
Viral carcinogenesis	7423	8680	7861	6953	4886	9479	6222	7078	7279	11401	12652	13347	4350	3373	3571	30767	17857	11937	9140	8589	9729	6819	15816	8191
Type II diabetes mellitus	7223	7447	4778	6345	3587	7213	5223	5443	4067	9208	10897	12927	4201	3356	3501	24495	17824	10795	8134	6033	6441	5781	14972	7616
Human papillomavirus infection	7227	7522	4897	6378	3635	7286	5266	5496	4230	9341	11011	12958	4201	3356	3501	24889	17824	10864	8169	6127	6569	5841	15010	7648
Phosphotransferase system (PTS)	3997	2765	1428	2835	879	2202	2703	2375	2407	5918	5188	6996	1513	639	1438	23159	12156	8047	3389	3231	3695	2473	7207	3216
Protein kinases	66572	62687	36072	71437	28137	73598	51139	51153	35475	111621	174379	143399	61508	39144	59340	362168	203727	127054	94437	69266	59205	48783	144969	70966
MAPK signaling pathway - plant	12372	9656	4813	7654	3625	6072	6399	5434	3837	14255	13685	18011	6818	5165	5407	41661	32415	19763	10120	5314	5130	6317	21571	11491
Energy metabolism	16233	15967	11182	13169	7399	16150	12181	12791	10994	21615	21154	25305	9578	7995	8682	55588	34602	23303	20215	16585	16407	12434	30921	16570
Prolactin signaling pathway	451	622	433	639	459	843	749	859	448	1045	1790	2625	631	483	468	5946	2543	1688	1389	1083	1049	677	1537	701
Acarbose and validamycin biosynthesis	3193	3151	2023	2996	1623	3078	2330	2419	1774	5172	8059	8530	2359	2147	1839	17739	10633	6587	4351	2995	3040	2599	7344	3682
Phosphatidylinositol signaling system	4715	3852	2129	3569	1783	3679	3183	3054	2355	6757	8054	10469	2584	1954	2305	22210	13844	8703	5962	3979	4161	3090	9245	4622
Vancomycin resistance	20811	20538	12448	19048	9659	19484	16010	16488	12512	39360	39693	51560	13141	11602	10670	113575	72442	45030	28458	21172	22156	17632	45371	22851
Ras signaling pathway	2185	1781	997	1382	549	866	1532	1236	691	1260	2140	2945	571	398	141	6066	7851	4223	2135	1058	902	1321	5393	2291
Vascular smooth muscle contraction	62	70	36	51	7	46	74	100	46	88	54	262	28	29	4	310	120	93	88	101	181	49	292	41
Pancreatic secretion	185	259	100	196	108	211	216	268	86	582	936	918	42	105	278	3262	2252	1133	184	460	380	255	860	424
Regulation of lipolysis in adipocytes	449	324	311	333	261	449	475	430	256	601	849	805	464	270	230	2725	2580	1279	720	295	150	276	1176	406
Retrograde endocannabinoid signaling	2825	1931	1274	1871	930	1885	1842	1703	1246	2539	2870	2828	2398	1288	1490	7891	7329	3827	3311	1738	1263	1391	6802	2199
Translation factors	63092	62745	40911	55319	32125	60079	43462	45213	39202	89853	99170	111136	39167	32402	33803	235726	141909	94739	74286	53893	53250	46095	118125	62166
Fatty acid elongation	82	379	56	116	149	393	140	172	295	265	303	524	77	76	269	2312	409	283	682	724	551	132	254	147
Ovarian steroidogenesis	31	132	20	59	52	95	59	35	211	188	142	300	69	56	84	745	163	100	319	338	452	52	125	40
Glycosylphosphatidylinositol (GPI)-anchored proteins	3274	3491	2042	2872	1524	4300	2662	2956	2213	4239	3870	3671	2470	1758	2232	16118	7246	4636	4214	3257	3197	2321	7861	3917
Quorum sensing	179272	153232	94753	137996	72490	141422	112194	118763	81726	271251	244183	311364	110279	91952	93605	680708	430442	277523	226035	149180	138846	114541	323318	168339
Bacterial toxins	8657	9297	5975	8378	4648	8374	7138	7461	4311	13496	12351	14030	9298	6437	7151	44788	27946	17991	17635	8667	8352	7045	18372	9854
Phospholipase D signaling pathway	2123	1711	961	1331	542	820	1458	1136	645	1172	1851	2683	543	369	137	5756	7731	4130	2047	957	721	1272	5101	2250
Sphingolipid signaling pathway	3076	2088	1155	1632	645	1099	1701	1320	840	2143	2915	4318	1128	510	243	9140	10862	6206	2661	1086	854	1543	5997	2611
Endocytosis	2217	1718	961	1336	542	824	1459	1136	645	1172	1851	2683	543	369	137	5756	7732	4130	2050	957	721	1272	5131	2255
Fc gamma R-mediated phagocytosis	2123	1711	961	1331	542	820	1458	1136	645	1172	1851	2683	543	369	137	5756	7731	4130	2047	957	721	1272	5101	2250
GnRH signaling pathway	2123	1711	961	1331	542	820	1458	1136	645	1172	1851	2683	543	369	137	5756	7731	4130	2047	957	721	1272	5101	2250
Parathyroid hormone synthesis, secretion and action	2132	1772	1063	1348	564	886	1488	1202	751	1619	1972	2786	543	369	137	6849	7925	4272	2087	1026	834	1302	5144	2272
Glutamatergic synapse	28331	31342	21876	26143	15928	26990	20955	21929	18319	31451	37054	41693	18504	17281	14847	73647	56713	37231	33318	24993	24919	24137	57303	30273
Choline metabolism in cancer	2123	1711	961	1331	542	820	1458	1136	645	1243	1851	2683	543	369	137	5756	7731	4130	2047	957	721	1272	5101	2250
Pancreatic cancer	2123	1711	961	1331	542	820	1458	1136	645	1172	1851	2683	543	369	137	5756	7731	4130	2047	957	721	1272	5101	2250
Lysosome	3701	5158	2671	3666	1635	6273	3807	4258	3171	7386	7671	5471	3068	3104	3853	31051	11963	7443	8257	6165	6388	3920	9379	4508
Glycosaminoglycan degradation	3817	4138	1922	3573	1836	6472	3176	3397	2839	8640	5393	5733	2417	3117	2654	29151	11953	7934	7596	5975	6451	3344	8131	4094
Mismatch repair	53986	51911	31110	46278	24380	49025	36947	38067	28990	84715	93709	116438	34306	27966	29017	259961	159317	102332	71729	48559	46053	40333	106338	54914
Base excision repair	47138	46261	29900	40663	22804	43768	33289	33561	28189	75071	78514	95972	31580	26067	25786	214841	137579	88741	60940	42741	43657	36973	96587	49806
Homologous recombination	74627	70040	41259	61328	32646	64921	49627	50430	38956	108633	118754	143240	45850	40759	37072	303767	204767	130901	89978	62034	61159	53529	144468	75448
Apoptosis	1342	1376	942	2688	469	2445	892	978	752	1994	2055	1441	393	282	1502	5248	3136	1564	1211	1667	1007	779	2815	1311
Salivary secretion	123	189	64	145	101	165	142	168	40	494	882	656	14	76	274	2952	2132	1040	96	359	199	206	568	383
Carbohydrate digestion and absorption	123	189	64	145	101	165	142	168	40	494	882	656	14	76	274	2952	2132	1040	96	359	199	206	568	383
Other glycan degradation	2880	5369	2442	2710	1569	5167	3220	3857	3258	7557	6285	5997	2367	2182	3431	31361	12784	6369	11051	4602	4173	3769	10472	4924
Flavone and flavonol biosynthesis	563	552	206	447	114	356	515	518	132	221	148	446	186	150	267	3884	924	916	700	1278	1653	452	1095	545
Glycosaminoglycan binding proteins	902	684	324	565	123	290	468	340	191	921	548	1257	265	175	146	1223	3194	1592	732	225	170	458	1884	885
beta-Lactam resistance	17033	13883	6997	16608	5841	17270	11040	11901	8620	38266	40502	48161	10843	6514	11757	147814	63373	40288	23208	17559	15693	10998	29085	14422
Protein digestion and absorption	106	359	63	628	66	951	227	82	71	724	567	327	344	34	580	4846	804	629	950	589	76	83	267	112
CD molecules	850	1041	300	961	898	2225	868	611	751	2039	2025	1286	869	216	1101	7461	2396	1427	1443	1063	649	604	1579	656
Chaperones and folding catalysts	86638	87925	62392	78131	45630	94314	64056	70748	56886	119429	146360	162132	64326	51005	55426	329200	190712	127368	114954	86286	77803	65284	162852	88250
Renin secretion	744	681	213	324	349	1076	641	529	680	1314	1195	930	493	172	517	2614	1590	798	491	472	572	521	1312	543
Renin-angiotensin system	2650	3088	1176	2547	1045	2912	1902	1572	1117	5152	4966	5958	1894	730	1663	14052	5924	3211	2590	1983	1204	2051	5061	2881
Hypertrophic cardiomyopathy	744	681	213	324	349	1076	641	529	680	1314	1195	930	493	172	517	2614	1590	798	491	472	572	521	1312	543
Coronavirus disease - COVID-19	854	1755	2434	871	1021	2640	1509	1829	3138	2973	2524	1269	498	173	519	7741	1615	1723	1212	2281	3071	1300	2030	973
Chagas disease	3320	2112	677	1766	706	2256	1405	1235	1068	4146	3613	5209	1280	896	1207	7991	6534	3605	2008	1351	1310	1383	4469	2384
Ubiquitin system	721	847	393	1048	255	438	408	374	320	765	11451	1620	360	315	221	3056	2092	1320	747	435	371	380	1471	700
Cell cycle - Caulobacter	74420	70536	45490	62865	33416	68078	47593	50084	39613	92521	112070	116029	47256	38076	42823	244507	157518	98897	83481	61673	54225	50485	137150	69555
GABAergic synapse	26322	29847	21093	25125	15987	26569	19589	20903	17815	30439	35268	39084	19164	18083	15092	68301	49141	33197	32234	24067	24207	22989	52515	28199
Atrazine degradation	1853	1387	1248	1037	1143	1210	1524	1724	1195	1596	3371	3505	2200	1636	1544	3831	3897	2658	3387	1726	1726	1112	4125	1641
Epithelial cell signaling in Helicobacter pylori infection	1427	1077	778	884	700	883	1166	1176	967	1445	3012	2981	1072	813	654	3786	3259	2168	2524	1155	1362	801	3200	1352
Protein processing in endoplasmic reticulum	5097	6702	7830	5383	3756	8305	5910	7473	6152	9153	12024	9065	4094	3242	2736	28951	11118	9128	9749	10047	10142	5774	12629	6716
Amoebiasis	413	463	359	380	339	997	532	864	839	1418	1696	1228	166	124	211	7537	2334	1669	809	1305	1611	512	953	499
Primary immunodeficiency	4132	3433	1553	2572	1344	2012	2143	1795	1054	5764	3987	6230	2194	1956	1341	12218	12688	7566	3762	1534	1204	2502	8547	4632
Secretion system	90857	93665	59286	84623	42286	96313	63212	66636	50593	140324	169859	205290	58609	46803	53370	383076	257437	158095	109875	79818	71968	67836	189838	98578
Type I diabetes mellitus	27922	29286	21093	24011	16009	29363	19214	21127	17956	27301	33526	34994	20458	17351	16842	54981	45151	30532	30851	24246	21423	19842	50500	27950
Indole alkaloid biosynthesis	1223	1558	823	1866	440	1867	1261	1164	651	2202	1608	1775	1317	559	1089	7809	3624	2415	2772	1903	1282	1089	3239	1617
Axon regeneration	1227	1775	828	2412	440	1874	1267	1181	652	2271	1636	1804	1317	559	1089	8090	3628	2425	2839	1955	1377	1102	3244	1621
FoxO signaling pathway	16575	14236	7847	11326	6258	11115	8311	8333	6266	12657	15576	19349	10310	8680	8527	29866	30729	19704	13520	7734	7428	9167	30440	15812
Adipocytokine signaling pathway	9394	8864	4455	7357	3958	8583	5332	4930	3647	12429	11581	16398	6077	5233	4679	30210	26681	18848	11471	6011	4902	5773	18042	9487
Phenazine biosynthesis	6141	5751	3823	5485	2913	5724	4287	4543	3572	9363	10029	12850	4260	3244	3378	27045	16991	10847	9073	5607	5719	4753	13481	6880
Biofilm formation - Pseudomonas aeruginosa	41523	45418	27634	43332	19316	43008	34834	33396	23478	64115	108829	122763	29138	21096	24366	208656	138307	83571	59052	38016	35075	34813	101938	50316
Renal cell carcinoma	1675	1414	749	1157	680	1276	1374	1325	846	2928	3317	4943	1332	1291	1100	11510	6661	4435	2790	1588	1663	1316	3657	1730
Cushing syndrome	1675	1414	749	1157	680	1276	1374	1325	846	2918	3315	4943	1323	1266	1076	11510	6661	4435	2790	1588	1663	1316	3638	1730
Biosynthesis of vancomycin group antibiotics	940	1017	730	1253	1123	1237	811	726	590	2079	2945	3374	997	954	873	8521	4299	2592	3019	1142	1158	854	2537	1277
Meiosis - yeast	2666	1799	1498	2074	1110	3075	2101	2536	1850	4613	23203	3974	2961	1445	2593	12490	4925	3424	5067	3553	3061	1694	3909	2112
Longevity regulating pathway - multiple species	14435	11285	6959	10001	5350	10594	7920	8720	6150	15504	38097	24953	11733	8300	9925	44682	27991	18051	15652	9831	9037	8087	23245	12383
Nonribosomal peptide structures	1677	1121	574	901	272	924	721	606	368	792	1089	1121	154	185	377	2545	3951	2321	870	830	543	628	2374	1204
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	4	17	77	19	71	52	4	22	105	44	65	136	1	3	13	769	108	115	231	11	36	6	9	7
Primary bile acid biosynthesis	1762	1628	920	1284	711	1106	1110	1018	652	2675	2249	3527	2064	1596	1401	5132	6040	3481	2103	879	715	1111	2797	1357
Steroid degradation	5868	2091	1144	1491	1161	1565	1136	1020	1014	3548	3817	6918	6060	4588	4234	9601	18215	11973	6492	1125	1216	1282	3833	1690
Biosynthesis of various secondary metabolites - part 2	2735	3069	2068	2425	1751	3222	2082	2164	1887	4037	4423	4711	2070	1599	1904	9468	5365	3626	4356	2325	2306	2382	5139	2563
Non-homologous end-joining	15321	17292	12483	14755	9238	14045	10542	11676	7953	26667	26029	33330	11048	9401	9908	56650	39669	25586	21873	12697	12245	13114	32359	17714
DNA replication	60259	57866	37461	49974	27675	53950	41177	41763	34919	91731	103672	123506	36270	30732	29055	258206	170032	111396	75644	53232	52858	44815	117797	60481
Nucleotide excision repair	74461	73500	47074	65541	37075	68897	52440	53505	42570	110921	117661	144387	46252	38920	38577	296821	192784	128970	92702	64396	62713	56959	145567	76927
Structural proteins	12453	11333	7007	12311	4372	10411	7859	7677	6251	18547	18861	16207	9281	5442	8746	52672	23391	14654	13110	10130	8397	7401	21954	11050
ABC transporters	217332	162632	91269	142879	70393	136379	120848	118755	86200	305910	288644	352767	103161	85369	90458	781786	552185	347317	215055	138153	129212	120553	369364	185648
Others	28956	23891	16035	20431	11435	21803	19002	19085	15145	37970	40300	49884	13430	11093	10301	118683	78813	47565	33389	21998	23918	18116	51938	25590
Tuberculosis	36546	36754	25781	30342	20387	36151	24445	26665	22017	41492	52822	54389	29285	23677	23638	97005	68001	45410	42626	30916	27294	25880	66505	36495
Replication and repair	173821	276578	376068	218674	104245	273354	270142	354810	155555	151496	211823	253167	137833	96482	98800	480862	302076	208758	412249	479264	330529	182501	484604	289248
Photosynthesis - antenna proteins	0	1	1	13	0	0	5	9	8	477	7037	28	0	0	0	1	0	0	145	24	78	1	89	15
Photosynthesis proteins	27919	27022	17451	24308	13468	26734	19461	20296	16397	40558	65363	51671	16999	14482	14469	105469	66527	43285	33525	23124	23184	20834	52965	27930
Photosynthesis	26742	25854	16705	23085	13079	25322	18560	19356	15935	38911	56959	50099	16274	14077	13959	100985	63394	41371	32257	22176	22552	20166	50273	26657
Cofactor metabolism	2928	1712	1284	2069	816	2364	1831	2045	1585	3299	8854	6163	1621	1160	1841	16785	6756	4567	3320	3630	3723	1634	4632	2038
Dorso-ventral axis formation	62	260	376	100	140	238	98	174	370	275	144	55	0	0	1	726	275	296	130	305	364	151	380	264
Protein processing	29902	28356	18590	24329	14771	28144	21458	22824	17981	47509	51753	66456	20904	17321	19042	131384	79412	51697	40661	30061	32095	23395	58639	30358
Flagellar assembly	46905	46636	30011	38304	20171	38761	31327	27943	18098	45202	50687	69352	24048	18993	18371	105036	125849	69419	46456	24322	18718	30474	106501	50556
Transcription machinery	142749	157537	105139	140442	78094	153738	113273	119729	95184	211240	237222	294544	107372	93964	86570	533020	363374	237912	200287	137579	131976	123532	308000	165772
NOD-like receptor signaling pathway	7662	8545	6737	7573	4579	8946	5763	6092	4421	7939	12849	10415	5086	4366	3989	19571	16503	10077	9266	6708	5427	5875	15970	8301
Shigellosis	4332	5032	3745	4480	2537	4719	3111	3011	1957	4088	6805	5398	1842	1689	1271	8280	9526	5256	4443	2784	2267	3117	9021	4405
Bacterial secretion system	50030	50789	33148	44894	24720	50521	33494	36036	29227	69157	79171	93153	33619	27709	29684	181659	119147	74795	59226	42872	40695	35965	96704	49976
Transcription	7593	6626	4964	5682	3373	6053	5301	5032	4318	6443	7874	9199	4499	3579	3409	15883	15119	8626	8827	5298	5038	5001	13473	6778
Cell cycle	18	129	255	77	116	201	74	113	325	165	167	28	0	1	0	451	0	89	62	165	237	102	116	54
Cell cycle - yeast	0	1	0	2	0	0	1	2	1	1	133	6	0	0	0	0	0	0	20	59	127	3	37	6
Proteasome	17457	15200	9600	12846	7211	11672	10854	9871	6717	17474	23609	35307	10521	9152	6295	36950	47878	28236	18764	10300	8515	10417	35821	18887
Spinocerebellar ataxia	1086	1708	3228	954	1357	2312	1287	1806	3181	2732	3303	3006	383	234	335	8612	1761	1805	1509	2770	3400	1178	2155	1035
Arabinogalactan biosynthesis - Mycobacterium	8611	6745	3667	6396	4023	5765	4867	4328	2817	12217	11375	16670	9739	7093	6470	31895	34086	20706	12137	5199	4568	5079	15047	7552
Ribosome	166658	169474	111948	140192	84979	160472	106039	109301	100444	189122	221360	241504	99946	86363	86427	436907	326363	207872	168021	124030	117745	114217	294577	157259
Apelin signaling pathway	10	70	117	31	39	82	40	64	86	78	61	23	0	1	0	227	1	45	32	79	105	38	66	18
mTOR signaling pathway	10	70	117	31	39	82	42	64	86	78	2081	24	10	2	0	227	1	45	39	81	106	38	83	18
Proteoglycans in cancer	2121	1854	1271	1790	948	1895	1365	1414	888	3017	3729	4276	1120	1112	992	8419	6043	3801	2367	1598	1428	1529	4165	2208
EGFR tyrosine kinase inhibitor resistance	10	70	117	31	39	82	40	64	86	78	61	23	0	1	0	227	1	45	32	79	105	38	51	18
RNA polymerase	29258	29605	21908	26830	17370	30080	20585	22298	19932	44300	49282	51990	21612	18044	18192	111555	57737	42163	36202	27681	27520	22610	51748	28497
Cytosolic DNA-sensing pathway	2	21	19	19	6	11	38	15	26	2	5	6	0	0	0	26	0	6	6	82	124	16	17	21
Epstein-Barr virus infection	879	573	300	393	177	405	384	358	209	581	804	551	353	217	315	2255	1595	696	597	475	322	230	1365	520
Protein export	54647	54809	35725	46970	26883	52223	36227	39240	31060	75847	85614	101368	35011	29770	29977	194781	131755	83524	63028	45849	44716	39954	105323	55159
Basal transcription factors	5157	5243	5442	4446	2981	5120	3923	4202	5182	6974	6848	8987	1602	1502	877	17348	13633	9137	5399	5341	6184	3910	10106	5340
Human T-cell leukemia virus 1 infection	906	647	342	661	134	422	563	424	420	822	1052	683	383	171	135	4688	3277	2000	527	456	504	536	1833	932
Glycan metabolism	8772	7993	4398	7130	2908	5311	6187	6319	3400	11689	17292	18018	6588	6004	4761	42818	31321	18390	14849	7574	7424	6122	18730	9196
Leishmaniasis	12	176	346	96	116	249	88	119	214	250	232	47	2	0	0	616	0	124	102	101	135	115	103	60
Autophagy - animal	18	121	305	50	82	132	96	150	281	187	2264	52	0	0	0	502	0	85	76	217	348	89	85	52
Autophagy - yeast	2850	2239	1321	1866	845	1842	1968	1621	1755	3933	5517	5095	827	658	623	13208	9457	5832	2383	1951	2359	1680	5691	2810
Hepatitis C	893	695	605	443	258	537	480	507	489	768	1002	651	353	217	315	2757	1595	781	671	692	667	319	1421	571
Influenza A	893	695	605	443	258	537	480	507	489	768	1002	651	353	217	315	2757	1595	781	671	692	667	319	1421	571
Measles	893	694	605	442	258	537	480	507	489	768	1002	601	353	217	315	2757	1595	781	670	692	667	318	1419	571
Herpes simplex virus 1 infection	893	694	605	442	258	537	480	507	489	768	1002	601	353	217	315	2757	1595	781	670	692	667	318	1419	571
Ribosome biogenesis in eukaryotes	4838	4367	3231	3753	2141	3831	2859	3050	2821	6483	6930	8240	2119	2027	1510	16423	12900	8333	4586	3283	3400	3234	9455	5041
mRNA surveillance pathway	34	332	473	111	203	564	231	351	711	572	1213	203	0	0	3	2384	232	410	378	565	754	224	334	183
Transport	15688	15242	9599	15550	5611	14319	12396	12603	10717	28979	31486	28881	12054	5932	8945	116690	53901	35676	22365	15882	15372	11686	32008	15838
Staphylococcus aureus infection	950	835	674	1181	350	580	1616	1205	530	2895	1826	774	5263	384	2722	6599	1158	1085	1465	752	375	515	1407	711
Apoptosis - fly	1838	1318	628	1112	384	1508	1018	975	723	1312	2076	1224	754	411	545	6781	4902	2689	1246	1162	896	843	3441	1638
Cytoskeleton proteins	31652	34126	23939	28779	16965	34711	22621	25064	20281	44715	55535	54018	19622	16861	19177	113073	69038	45399	40036	31996	29097	25064	59791	31481
Signaling proteins	28179	26215	17018	23806	11690	26179	19272	19186	15136	31584	36722	46266	16413	12719	13495	87220	70071	43465	28574	21056	17561	18458	54859	27529
Lipoic acid metabolism	7848	8102	5096	7276	3961	7413	5693	6070	5136	11752	12009	13662	4665	4044	3913	30607	19407	12915	9814	7838	8124	6340	15517	8345
Nucleotide metabolism	151	23	20	22	39	26	16	12	16	58	51	138	138	60	52	71	359	152	59	47	16	18	107	57
Unclassified viral proteins	5014	4694	2590	4229	2135	4405	3043	3206	2572	7936	8050	10082	3184	3099	2520	22298	15270	9305	6244	3925	3645	3428	9983	5201
MAPK signaling pathway - yeast	7409	4813	2028	3715	1563	2776	2743	2290	1586	3754	4034	5436	4932	3860	3781	11032	12775	7766	3588	1547	1293	2705	12500	6302
Longevity regulating pathway	9854	7912	4337	6166	3114	6118	4645	4955	3733	6724	7683	8229	6506	5046	5457	19441	16974	10696	7057	4933	4886	5100	17209	8861
Various types of N-glycan biosynthesis	1038	1692	1178	834	828	2609	814	1127	1501	2171	1092	909	357	388	744	6555	3034	1721	2214	1486	1193	1113	2883	1280
Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	10	2	0	9	25	24	0	0	0	0	0	0	0	33	0
Biosynthesis of various secondary metabolites - part 3	674	644	414	510	857	833	844	643	646	1214	1603	2354	259	305	209	2432	1829	1186	2069	673	765	526	1625	548
